Description,Price,Rating,Review Count,URL
WeCool Moonwalk Mini Earbuds with Magnetic Charging Case IPX5 Wireless Earphones with Digital Battery Indicator for Crisp Sound Bluetooth Earphones for Secure Sports Fit (Yellow),₹799,3.8 out of 5 stars,"32,738",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03358372VNJ6GE1J7YQO&url=%2FMoonwalk-Mini-Earphones-Indicator-Bluetooth%2Fdp%2FB08NB1YRW2%2Fref%3Dsr_1_1_sspa%3Fcrid%3DAWC66IMNQMNW%26keywords%3Dwireless%2Bearphones%26qid%3D1641748218%26sprefix%3Dwireless%2Bearphones%252Caps%252C238%26sr%3D8-1-spons%26psc%3D1&qualifier=1641748218&id=2994643577724309&widgetName=sp_atf
"Noise Flair in-Ear Wireless Bluetooth Smart Neckband Earphone with Touch Controls, 35 Hour Playtime, Environmental noise Cancellation with Dual mic, Fast Charging (Carbon Black)","₹1,799",3.9 out of 5 stars,"8,649",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A050331731XYNSFFMX95X&url=%2FNoise-Wireless-Bluetooth-Environmental-Cancellation%2Fdp%2FB08SVPW1JQ%2Fref%3Dsr_1_2_sspa%3Fcrid%3DAWC66IMNQMNW%26keywords%3Dwireless%2Bearphones%26qid%3D1641748218%26sprefix%3Dwireless%2Bearphones%252Caps%252C238%26sr%3D8-2-spons%26psc%3D1&qualifier=1641748218&id=2994643577724309&widgetName=sp_atf
boAt Rockerz 255 Bluetooth Wireless in Ear Earphones with Mic (Active Black),₹999,4.1 out of 5 stars,"431,855",https://www.amazon.in/255-Bluetooth-Wireless-Earphone-Immersive/dp/B07C2VJXP4/ref=sr_1_3?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-3
boAt Rockerz 245 v2 Bluetooth Wireless in Ear Earphones with Mic (Active Black),₹999,4.0 out of 5 stars,"42,611",https://www.amazon.in/Rockerz-Bluetooth-Immersive-Resistance-Assistant/dp/B07TXVLB1G/ref=sr_1_4?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-4
"Infinity (JBL) Glide 120, in Ear Wireless Earphones with Mic, Deep Bass, Dual Equalizer, 12mm Drivers, Premium Metal Earbuds, Comfortable Flex Neckband, Bluetooth 5.0, IPX5 Sweatproof (Black&Yellow)","₹1,049",3.9 out of 5 stars,"50,100",https://www.amazon.in/Infinity-Glide-120-Earphones-Sweatproof/dp/B082MDMW3X/ref=sr_1_5?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&smid=A14CZOWI0VEHLG&sprefix=wireless+earphones%2Caps%2C238&sr=8-5
OnePlus Bullets Bluetooth Wireless Z Bass Edition in Ear Earphones with Mic (Black),"₹1,999",4.3 out of 5 stars,"165,907",https://www.amazon.in/OnePlus-Bullets-Wireless-Bass-Black/dp/B092ZJVB6Z/ref=sr_1_6?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-6
"pTron Tangent Lite Bluetooth 5.0 Wireless Headphones with Hi-Fi Stereo Sound, 8Hrs Playtime, Lightweight Ergonomic Neckband, Sweat-Resistant Magnetic Earbuds, Voice Assistant & Mic - (Black)",₹599,3.5 out of 5 stars,"65,587",https://www.amazon.in/Tangent-Lite-Magnetic-Bluetooth-Headphones/dp/B085W8CFLH/ref=sr_1_7?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-7
boAt Airdopes 121v2 Bluetooth Truly Wireless in Ear Earbuds with Mic (Active Black),Not Available,3.9 out of 5 stars,"92,574",https://www.amazon.in/Airdopes-121v2-Bluetooth-Immersive-Assistant/dp/B08JQN8DGZ/ref=sr_1_8?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-8
realme Buds Wireless 2 Neo Bluetooth in Ear Earphones with Mic (Black),"₹1,499",4.1 out of 5 stars,"86,062",https://www.amazon.in/realme-Wireless-Bluetooth-Earphones-Black/dp/B0999NNBPV/ref=sr_1_9?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-9
OnePlus BWZ Bass Edition Bluetooth Wireless in Ear Earphones with Mic (Reverb Red),"₹1,999",4.3 out of 5 stars,"165,907",https://www.amazon.in/OnePlus-Bullets-Wireless-Bass-Reverb/dp/B08HLTFB33/ref=sr_1_10?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-10
